מספר קלפי,שם ישוב,כתובת,מצביעים,כשרים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
1010,מעטפות כפולות,,1195,1175,183,23,12,3,7,1,3,47,3,127,1,7,264,0,113,114,58,2,5,13,0,0,2,1,0,0,0,58,0,38,90
1020,מעטפות כפולות,,1210,1192,159,15,14,1,8,2,7,50,5,110,7,14,286,0,108,113,67,0,8,8,4,0,3,0,0,0,1,69,1,38,94
1030,מעטפות כפולות,,1169,1148,153,15,2,0,5,0,13,64,5,108,5,21,270,0,122,108,60,2,4,9,1,0,0,0,1,1,2,51,0,39,87
1040,מעטפות כפולות,,1209,1190,174,13,1,0,4,0,3,63,8,104,6,6,315,0,95,123,77,1,3,13,3,1,1,0,1,0,0,64,0,46,65
1050,מעטפות כפולות,,1198,1176,163,12,8,1,9,1,8,50,5,110,6,7,291,1,108,121,58,5,6,12,0,0,1,0,1,1,0,55,0,44,92
1060,מעטפות כפולות,,1210,1191,145,16,1,0,1,1,13,37,7,147,6,17,257,1,113,145,60,5,1,8,2,1,1,0,0,0,0,82,0,48,76
1070,מעטפות כפולות,,1176,1152,161,17,4,0,2,1,7,56,6,111,4,7,256,0,104,139,50,2,8,2,0,1,2,0,0,3,2,64,1,45,97
1080,מעטפות כפולות,,1196,1182,147,36,4,1,1,1,5,80,9,108,3,13,284,0,112,106,60,1,3,6,0,1,1,1,1,1,0,54,0,47,96
1090,מעטפות כפולות,,1206,1185,165,28,11,1,5,1,1,44,4,142,1,17,238,1,68,129,67,1,19,11,0,1,1,0,1,1,0,79,0,52,96
1100,מעטפות כפולות,,1242,1209,158,11,4,1,7,4,12,42,6,140,6,14,269,1,116,122,60,3,11,7,1,3,2,0,1,0,0,85,0,53,70
1110,מעטפות כפולות,,1187,1157,172,59,6,0,4,0,7,58,3,174,2,17,207,1,69,132,50,2,2,8,1,0,0,1,1,1,0,59,0,34,87
1120,מעטפות כפולות,,1200,1176,159,33,3,0,10,1,2,68,3,146,4,19,243,0,113,123,67,1,5,6,0,1,1,0,3,0,1,55,1,36,72
1130,מעטפות כפולות,,1148,1132,182,34,2,0,6,2,1,59,2,98,3,11,264,1,79,107,83,3,4,5,1,1,1,0,0,3,1,61,2,42,74
1140,מעטפות כפולות,,1162,1155,152,11,0,0,3,1,4,38,3,97,3,7,290,0,86,118,86,6,13,6,0,3,0,0,0,1,0,89,0,60,78
1150,מעטפות כפולות,,1191,1175,158,26,3,1,2,0,4,49,4,113,8,15,263,0,124,136,69,2,2,13,0,1,3,0,0,3,1,55,0,50,70
1160,מעטפות כפולות,,1204,1175,171,43,11,0,11,0,7,46,4,112,7,8,271,0,83,130,49,3,9,8,0,0,2,0,0,4,1,59,0,48,88
1170,מעטפות כפולות,,1212,1195,197,6,4,1,2,1,6,35,6,115,2,7,326,0,88,123,75,2,3,10,0,2,3,1,0,2,0,55,1,41,81
1180,מעטפות כפולות,,1200,1185,182,14,3,0,2,0,4,49,5,137,1,12,290,1,90,114,79,2,2,10,0,2,2,0,0,1,0,66,1,55,61
1190,מעטפות כפולות,,1161,1146,148,4,0,0,11,1,3,50,3,122,3,11,282,0,95,124,62,4,12,13,1,1,2,0,0,1,1,86,0,50,56
1200,מעטפות כפולות,,1192,1168,156,19,6,1,9,0,3,50,8,117,5,10,312,0,89,124,56,3,12,8,1,0,1,0,0,1,0,56,0,37,84
1210,מעטפות כפולות,,1032,1011,148,25,2,0,3,0,2,55,3,83,1,12,250,1,68,109,59,2,2,10,2,1,0,0,0,1,1,61,0,47,63
1220,מעטפות כפולות,,1190,1168,131,22,4,1,6,0,8,47,5,139,5,17,257,1,110,121,62,1,2,11,0,1,0,0,0,2,0,80,0,48,87
1230,מעטפות כפולות,,1200,1179,155,32,8,0,11,1,2,53,10,99,0,6,259,2,113,130,66,3,11,6,1,0,1,0,1,0,0,64,1,55,89
1240,מעטפות כפולות,,1198,1176,167,23,0,0,8,2,9,48,7,136,5,15,273,0,88,105,56,3,9,15,0,1,2,0,0,1,0,58,0,54,91
1250,מעטפות כפולות,,1209,1186,168,49,3,1,6,1,6,47,10,123,2,15,241,0,95,133,64,0,8,14,2,1,1,0,0,0,2,64,0,38,92
1260,מעטפות כפולות,,1175,1125,162,27,2,1,1,1,5,50,9,112,2,12,259,0,94,125,66,5,10,6,2,1,1,0,0,0,0,62,0,43,67
1270,מעטפות כפולות,,1190,1159,164,20,4,1,11,0,11,30,8,120,3,4,308,0,100,113,75,0,6,11,0,0,0,0,0,1,1,63,0,40,65
