סמל ישוב,סמל קלפי,בוחרים,מצביעים,פסולים,כשרים,שם ישוב,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
0,1200,1050,1050,23,1027,מעטפות כפולות,116,64,5,1,2,0,0,0,0,188,8,67,18,375,60,8,7,1,0,1,1,0,0,1,60,0,10,34
0,1210,1055,1055,17,1038,מעטפות כפולות,146,32,7,2,3,1,0,1,1,195,7,60,21,379,59,7,15,2,0,0,0,3,1,0,33,0,9,54
0,1220,1052,1052,10,1042,מעטפות כפולות,146,39,1,0,1,0,0,1,0,196,9,57,13,374,75,6,10,2,0,0,1,1,0,1,47,0,5,57
0,1230,1057,1057,19,1038,מעטפות כפולות,124,23,17,3,3,1,0,2,0,197,13,61,13,405,52,5,16,0,0,0,2,1,0,0,40,0,1,59
0,1240,1100,1100,10,1090,מעטפות כפולות,142,33,2,0,0,0,0,1,0,237,6,49,12,402,77,9,14,1,0,1,1,0,0,0,47,0,7,49
0,1250,1051,1051,30,1021,מעטפות כפולות,108,35,3,5,4,1,0,1,1,191,7,57,22,400,45,5,14,8,2,0,3,2,1,0,35,0,6,65
0,1260,1155,1155,16,1139,מעטפות כפולות,141,52,11,2,3,0,0,0,0,208,15,66,27,409,88,3,14,1,0,1,0,2,1,0,27,0,7,61
0,1270,1101,1101,15,1086,מעטפות כפולות,123,72,2,0,0,0,0,0,0,194,6,72,21,380,71,8,20,0,0,1,0,1,0,0,59,0,15,41
0,1280,1069,1069,12,1057,מעטפות כפולות,145,63,17,1,3,0,0,1,0,185,4,48,23,382,60,8,11,3,1,0,1,3,0,0,43,1,5,49
0,1290,956,956,25,931,מעטפות כפולות,116,53,3,3,0,0,0,2,3,185,11,48,8,298,72,1,13,3,0,0,0,0,1,0,34,1,5,71
0,1300,1100,1100,22,1078,מעטפות כפולות,149,54,5,5,3,1,0,2,3,185,4,50,13,392,68,5,12,1,1,1,2,1,1,1,48,0,13,58
0,1310,1040,1040,14,1026,מעטפות כפולות,165,71,55,5,8,0,0,0,1,112,6,56,23,321,59,5,13,5,0,1,2,3,0,1,28,1,10,75
0,1320,950,950,10,940,מעטפות כפולות,101,32,3,8,6,1,0,3,2,172,4,41,16,331,50,8,19,10,1,0,1,0,0,0,50,2,13,66
0,1330,1051,1051,13,1038,מעטפות כפולות,142,53,50,10,6,0,0,0,0,173,6,52,14,336,68,9,13,9,0,0,0,3,0,0,42,1,6,45
0,1340,1100,1100,17,1083,מעטפות כפולות,130,73,15,9,4,0,0,1,4,188,12,67,11,360,70,15,16,1,0,0,1,0,0,1,59,1,10,35
